Java HotSpot(TM) 64-Bit Server VM (25.66-b17) for linux-amd64 JRE (1.8.0_66-b17), built on Oct  6 2015 17:28:34 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 16466924k(12326868k free), swap 0k(0k free)
CommandLine flags: -XX:CMSFullGCsBeforeCompaction=0 -XX:CMSInitiatingOccupancyFraction=65 -XX:CMSTriggerRatio=70 -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/workspace/carkey/AppFinanceExternalData/logs/heapdump.hprof -XX:InitialHeapSize=2147483648 -XX:+ManagementServer -XX:MaxHeapSize=2147483648 -XX:MaxMetaspaceSize=268435456 -XX:MaxNewSize=838860800 -XX:MaxTenuringThreshold=6 -XX:MetaspaceSize=268435456 -XX:NewSize=838860800 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCMSCompactAtFullCollection -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2019-12-07T10:26:13.712+0800: 149150.431: [GC (Allocation Failure) 2019-12-07T10:26:13.712+0800: 149150.431: [ParNew: 665150K->11694K(737280K), 0.0266279 secs] 895951K->243012K(2015232K), 0.0270776 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2019-12-07T11:11:38.790+0800: 151875.509: [GC (Allocation Failure) 2019-12-07T11:11:38.791+0800: 151875.509: [ParNew: 667052K->12706K(737280K), 0.0233533 secs] 898369K->244485K(2015232K), 0.0238214 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-07T11:55:45.279+0800: 154521.997: [GC (Allocation Failure) 2019-12-07T11:55:45.279+0800: 154521.998: [ParNew: 668066K->14434K(737280K), 0.0275788 secs] 899845K->246716K(2015232K), 0.0280295 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2019-12-07T12:43:27.896+0800: 157384.614: [GC (Allocation Failure) 2019-12-07T12:43:27.896+0800: 157384.615: [ParNew: 669788K->18478K(737280K), 0.0291111 secs] 902071K->251578K(2015232K), 0.0296208 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2019-12-07T13:28:02.235+0800: 160058.953: [GC (Allocation Failure) 2019-12-07T13:28:02.235+0800: 160058.954: [ParNew: 673838K->13890K(737280K), 0.0283483 secs] 906938K->248171K(2015232K), 0.0287918 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2019-12-07T14:13:36.288+0800: 162793.007: [GC (Allocation Failure) 2019-12-07T14:13:36.288+0800: 162793.007: [ParNew: 669243K->14517K(737280K), 0.0270433 secs] 903524K->250099K(2015232K), 0.0275121 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2019-12-07T14:56:55.012+0800: 165391.731: [GC (Allocation Failure) 2019-12-07T14:56:55.012+0800: 165391.731: [ParNew: 669877K->14668K(737280K), 0.0276381 secs] 905459K->251652K(2015232K), 0.0280723 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T15:38:54.638+0800: 167911.357: [GC (Allocation Failure) 2019-12-07T15:38:54.639+0800: 167911.357: [ParNew: 670028K->17499K(737280K), 0.0311965 secs] 907012K->255955K(2015232K), 0.0316570 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-07T16:20:38.431+0800: 170415.150: [GC (Allocation Failure) 2019-12-07T16:20:38.431+0800: 170415.150: [ParNew: 672859K->15045K(737280K), 0.0269225 secs] 911315K->254901K(2015232K), 0.0273836 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T17:04:03.129+0800: 173019.848: [GC (Allocation Failure) 2019-12-07T17:04:03.129+0800: 173019.848: [ParNew: 670401K->15550K(737280K), 0.0287904 secs] 910257K->258252K(2015232K), 0.0292667 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
